  1.0000000e+000  8.0000000e-004
  9.0000000e-001  1.4500000e-002
  8.0000000e-001  2.9100000e-002
  7.0000000e-001  4.3700000e-002
  6.0000000e-001  5.6300000e-002
  5.5000000e-001  6.1100000e-002
  5.0000000e-001  6.4600000e-002
  4.5000000e-001  6.6800000e-002
  4.0000000e-001  6.7800000e-002
  3.5000000e-001  6.7800000e-002
  3.0000000e-001  6.6200000e-002
  2.5000000e-001  6.4300000e-002
  2.0000000e-001  6.0600000e-002
  1.5000000e-001  5.4900000e-002
  1.0000000e-001  4.6800000e-002
  7.5000000e-002  4.1000000e-002
  5.0000000e-002  3.3500000e-002
  2.5000000e-002  2.3200000e-002
  1.2500000e-002  1.6000000e-002
  7.5000000e-003  1.2300000e-002
  5.0000000e-003  1.0000000e-002
  2.5000000e-003  7.0000000e-003
  0.0000000e+000  0.0000000e+000
  0.0000000e+000  0.0000000e+000
  2.5000000e-003 -5.1000000e-003
  5.0000000e-003 -6.6000000e-003
  7.5000000e-003 -7.7000000e-003
  1.2500000e-002 -9.1000000e-003
  2.5000000e-002 -1.1600000e-002
  5.0000000e-002 -1.4800000e-002
  7.5000000e-002 -1.7400000e-002
  1.0000000e-001 -2.0000000e-002
  1.5000000e-001 -2.4600000e-002
  2.0000000e-001 -2.9100000e-002
  2.5000000e-001 -3.3100000e-002
  3.0000000e-001 -3.5900000e-002
  3.5000000e-001 -3.8800000e-002
  4.0000000e-001 -4.0200000e-002
  4.5000000e-001 -4.0400000e-002
  5.0000000e-001 -3.9300000e-002
  5.5000000e-001 -3.7100000e-002
  6.0000000e-001 -3.3900000e-002
  7.0000000e-001 -2.5700000e-002
  8.0000000e-001 -1.7200000e-002
  9.0000000e-001 -8.6000000e-003
  1.0000000e+000 -8.0000000e-004
